Sun Effect Update,Mouse Update,Check for New Particle Effect Update,Particle Update,Spaceship Update,Object Update,Spaceship Draw,Draw Sun Particles,Turret Update,Turret Draw,Draw Particle,Bullet Draw,Object Draw,Wall Draw,Solar System Draw
4.35577e-005,3.28737e-006,4.10922e-007,0,1.23276e-006,1.64369e-006,2.30116e-005,0.0017497,8.21843e-007,8.21843e-006,4.10922e-007,4.10922e-007,4.10922e-006,8.21843e-006,7.80751e-005
4.27359e-005,2.05461e-006,0,0,8.21843e-007,8.21843e-007,2.46553e-005,0.0018249,8.21843e-007,8.21843e-006,0,4.10922e-007,4.10922e-006,8.62935e-006,8.17734e-005
0.000157794,2.87645e-006,0,4.10922e-007,1.23276e-006,1.64369e-006,2.26007e-005,0.00178299,1.23276e-006,8.21843e-006,4.10922e-007,4.10922e-007,4.10922e-006,8.21843e-006,7.80751e-005
4.35577e-005,3.28737e-006,0,4.10922e-007,8.21843e-007,1.64369e-006,2.34225e-005,0.00194325,1.64369e-006,8.62935e-006,0,4.10922e-007,4.52014e-006,8.62935e-006,8.3828e-005
0.000183271,3.28737e-006,4.10922e-007,0,1.23276e-006,1.23276e-006,2.42444e-005,0.0018286,1.23276e-006,8.62935e-006,4.10922e-007,4.10922e-007,4.52014e-006,9.04028e-006,8.34171e-005
4.35577e-005,3.69829e-006,4.10922e-007,0,8.21843e-007,1.64369e-006,2.79427e-005,0.0019375,1.23276e-006,9.04028e-006,0,8.21843e-007,4.52014e-006,8.62935e-006,8.30062e-005
0.000145466,2.87645e-006,0,0,8.21843e-007,1.23276e-006,2.26007e-005,0.00181258,1.23276e-006,7.80751e-006,0,4.10922e-007,4.52014e-006,8.21843e-006,7.72533e-005
0.000168889,2.87645e-006,4.10922e-007,4.10922e-007,1.23276e-006,1.64369e-006,2.42444e-005,0.0018097,8.21843e-007,8.21843e-006,0,8.21843e-007,4.10922e-006,7.80751e-006,7.8486e-005
0.000153274,2.05461e-006,0,4.10922e-007,8.21843e-007,1.23276e-006,2.0957e-005,0.00181545,8.21843e-007,8.62935e-006,4.10922e-007,0,4.52014e-006,8.62935e-006,8.95809e-005
0.000151219,3.28737e-006,4.10922e-007,0,1.23276e-006,1.64369e-006,2.67099e-005,0.00178792,8.21843e-007,8.21843e-006,0,4.10922e-007,4.10922e-006,8.21843e-006,7.8486e-005
0.000177518,1.64369e-005,0,0,8.21843e-007,8.21843e-007,2.01352e-005,0.00186476,2.46553e-006,3.28737e-005,0,4.10922e-007,4.52014e-006,1.27386e-005,7.8897e-005
0.000179162,4.10922e-006,0,4.10922e-007,1.23276e-006,1.64369e-006,2.34225e-005,0.00181586,1.23276e-006,9.04028e-006,0,4.10922e-007,4.52014e-006,8.62935e-006,8.30062e-005
4.52014e-005,4.10922e-006,0,0,1.64369e-006,1.64369e-006,2.38335e-005,0.00183723,1.23276e-006,8.62935e-006,0,4.10922e-007,4.52014e-006,8.62935e-006,8.25953e-005
0.000152452,2.87645e-006,4.10922e-007,0,1.23276e-006,1.23276e-006,2.21898e-005,0.0018249,1.23276e-006,8.62935e-006,0,4.10922e-007,4.10922e-006,8.62935e-006,8.21843e-005
0.000143001,3.69829e-006,4.10922e-007,4.10922e-007,1.23276e-006,1.64369e-006,2.38335e-005,0.00177395,1.23276e-006,8.62935e-006,0,4.10922e-007,4.93106e-006,9.04028e-006,8.3828e-005
0.000188613,2.46553e-006,0,0,8.21843e-007,1.23276e-006,2.95864e-005,0.0017986,8.21843e-007,8.62935e-006,0,0,4.52014e-006,8.21843e-006,8.17734e-005
5.2187e-005,3.28737e-006,4.10922e-007,0,1.23276e-006,2.05461e-006,2.26007e-005,0.00184381,8.21843e-007,8.62935e-006,0,8.21843e-007,4.52014e-006,8.62935e-006,8.25953e-005
4.10922e-005,1.64369e-006,0,0,8.21843e-007,8.21843e-007,1.97242e-005,0.00186846,1.23276e-006,7.80751e-006,0,4.10922e-007,4.10922e-006,7.80751e-006,7.51987e-005
0.000152452,2.87645e-006,0,0,1.23276e-006,1.64369e-006,2.26007e-005,0.00184052,1.23276e-006,8.62935e-006,0,4.10922e-007,4.52014e-006,8.62935e-006,8.34171e-005
